date,deaths,description,location,location_link,name,name_link,latitude,longitude,wiki_lat,wiki_lon,lat_clean,lon_clean
1572-08-23 00:00:00,5000,The French King's soldiers and subjects slaughtered Huguenots; it was the first massacre to be labeled by that word in the English language.[51][52][53],"Paris, France","Europe West !Paris, France",Massacre of St. Bartholomew's Day,/wiki/St._Bartholomew%27s_Day_massacre,48.856614,2.3522218999999995,,,48.856614,2.3522218999999995
1580-10-10 00:00:00,600,English troops commanded by Grey de Wilton massacre Papal invasion forces at Dun an Oir in West Kerry[55],"Kerry, Ireland",/wiki/County_Kerry,Massacre of Smerwick,/wiki/Siege_of_Smerwick,52.15446069999999,-9.5668633,52.167,9.75,52.15446069999999,-9.5668633
1603-10-01 00:00:00,15000,"Fearing an uprising by the large Chinese community in the Philippines, the Spanish colonists carried out a preemptive massacre, largely in the Manila area, in October 1603.","Manila, Captaincy General of the Philippines",/wiki/Manila,Chinese massacre of 1603,/wiki/Sangley_Rebellion,14.586854,120.976262,14.58,121.0,14.586854,120.976262
1622-03-22 00:00:00,347,"The Powhatans killed 347 settlers, almost one-third of the English population of the Virginia colony.","Jamestown, Virginia","/wiki/Jamestown,_Virginia",Jamestown massacre,/wiki/Jamestown_massacre,37.2116383,-76.7752102,37.20917,76.7775,37.2116383,-76.7752102
1637-05-26 00:00:00,400,English settlers under Captain John Mason and Narragansett and Mohegan allies set fire to a fortified Pequot village near the Mystic River.,"Mystic, Connecticut","/wiki/Mystic,_Connecticut",Fort Mystic massacre,/wiki/Fort_Mystic_massacre,41.354265600000005,-71.96646199999998,41.35417,71.96639,41.354265600000005,-71.96646199999998
1639-11-01 00:00:00,17000,"The Spanish and their Filipino allies carried out a large-scale massacre, in which 17,000 to 22,000 Chinese rebels died.","Luzon, Captaincy General of the Philippines",/wiki/Luzon,"""Chinese massacre of 1639"" (1961)[60]","""Chinese massacre of 1639"" (1961)[60]",14.586854,120.976262,16.0,121.0,14.586854,120.976262
1641-01-01 00:00:00,4000,"The Ulster Massacres were a series of massacres and resulting deaths amongst the ~40,000 Protestant settlers which took place in 1641 during the Irish Rebellion.[61][62][63]","Ulster, Ireland",/wiki/Ulster,Ulster massacres,/wiki/Irish_Rebellion_of_1641#Ulster_massacres,54.7616555,-6.9612273,54.4,7.0,54.7616555,-6.9612273
1641-11-01 00:00:00,100,"The Portadown massacre took place in November 1641 at what is now Portadown, County Armagh. Up to 100 mostly English Protestants were killed in the River Bann by a group of armed Irishmen. This was the biggest massacre of Protestant colonists during the 1641–42 uprising.[64]","Portadown, Ireland",/wiki/Portadown,Portadown massacre,/wiki/Portadown_massacre,54.4203331,-6.4548387,54.421027,6.4582440000000005,54.4203331,-6.4548387
1644-05-28 00:00:00,200,Royalist forces killed many of the town's defenders and citizens.[65][66][67],"Bolton, England",/wiki/Bolton,Bolton massacre,/wiki/Bolton_massacre,53.57686469999999,-2.4282192000000005,53.578,2.4290000000000003,53.57686469999999,-2.4282192000000005
1645-01-01 00:00:00,800000,Qing troops killed residents of Yangzhou as punishment for resistance[68][69],"Yangzhou, China",/wiki/Yangzhou,Yangzhou massacre,/wiki/Yangzhou_massacre,32.394209000000004,119.412939,32.4,119.417,32.394209000000004,119.412939
1645-01-01 00:00:00,1000000,"There is no reliable figure, but estimated 1 million out of 3 million Sichuanese died mainly due to the massacre by army of Zhang Xianzhong.[71]","Sichuan, China","Sichuan, China",Sichuan massacre,/wiki/Zhang_Xianzhong#Devastation_of_Sichuan,30.26380319999999,102.8054753,,,30.26380319999999,102.8054753
1646-01-01 00:00:00,71,"The Clan Campbell after receiving requested hospitality according to custom, slaughtered their Lamont Clan hosts in their beds and threw their bodies down the well to poison the water should they have missed anyone.","Dunoon, Scotland",/wiki/Dunoon,Dunoon massacre,/wiki/Dunoon_massacre,55.950973,-4.926214,55.9509,4.9262,55.950973,-4.926214
1692-02-13 00:00:00,38,"Government soldiers, mainly from Clan Campbell, killed members of the Clan MacDonald of Glencoe.[73]",Scotland,/wiki/Scotland,Massacre of Glencoe,/wiki/Massacre_of_Glencoe,56.49067119999999,-4.2026458,55.95306,3.1888900000000002,56.49067119999999,-4.2026458
1755-10-16 00:00:00,14,A group of Indians attacked settlers on Penn's Creek.,"Snyder County, Pennsylvania","/wiki/Snyder_County,_Pennsylvania",Penn's Creek massacre,/wiki/Penn%27s_Creek_massacre,40.750748,-77.0564464,40.77,77.08,40.750748,-77.0564464
1768-05-10 00:00:00,7,"British troops fired at a mob that was protesting at the imprisonment of John Wilkes, whose crime was criticizing King George III.",Southwark in South London,/wiki/Southwark,Massacre of St George's Fields,/wiki/Massacre_of_St_George%27s_Fields,51.5073509,-0.12775830000000002,51.4988,0.0901,51.5073509,-0.12775830000000002
1770-03-05 00:00:00,5,British troops fired at a mob of colonists. This helped spark the American Revolution even though an all-colonist jury found the soldiers innocent.[77][78],"Boston, Province of Massachusetts Bay",/wiki/Boston,Massacre in Boston,/wiki/Boston_Massacre,42.3109667,-71.05560539999998,42.358059999999995,71.06361,42.3109667,-71.05560539999998
1771-07-17 00:00:00,20,"Chipewyan warriors attacked an Inuit camp, killing men, women and children.[80][81][82]","Kugluktuk, Nunavut","/wiki/Kugluktuk,_Nunavut",Bloody Falls massacre,/wiki/Bloody_Falls_massacre,67.8252313,-115.0965504,67.82556,115.095,67.8252313,-115.0965504
1778-09-28 00:00:00,15,British infantry troops attacked sleeping Continental Light Dragoons using bayonets.[83],"River Vale, New Jersey",/wiki/River_Vale,Baylor Massacre,/wiki/Baylor_Massacre,41.0147679,-74.01197359999998,41.014201,74.006774,41.0147679,-74.01197359999998
1778-10-15 00:00:00,30,British loyalists bayonetted Continental Light Dragoons as they slept.,"River Vale, New Jersey",/wiki/River_Vale,Little Egg Harbor massacre,/wiki/The_Affair_at_Little_Egg_Harbor,41.0147679,-74.01197359999998,41.014201,74.006774,41.0147679,-74.01197359999998
1780-05-29 00:00:00,113,Loyalist troops under the command of British Colonel Banastre Tarleton slashed and bayoneted fallen American troops during the late stages of the Battle of Waxhaws. Conflicting contemporary accounts claim violation of an American white flag by one or the other of the sides involved.[85],"Lancaster, South Carolina","/wiki/Lancaster,_South_Carolina",Waxhaw massacre,/wiki/Waxhaw_massacre,34.72042570000001,-80.77090140000001,34.721109999999996,80.77333,34.72042570000001,-80.77090140000001
1780-09-11 00:00:00,15,A group of loyalists and Indians during the American Revolutionary War led by Roland Montour attacked a group of American soldiers.,"Luzerne County, Pennsylvania","/wiki/Luzerne_County,_Pennsylvania",Sugarloaf massacre,/wiki/Sugarloaf_massacre,41.14043529999999,-75.9927652,41.18,75.99,41.14043529999999,-75.9927652
1781-02-24 00:00:00,93,"Patriot militia leader Colonel Henry Lee deceived Loyalist militia under Dr. John Pyle into thinking he was British commander Banastre Tarleton sent to meet them. Lee's men then opened fire, surprising and scattering Pyle's force.","Alamance County, North Carolina","/wiki/Alamance_County,_North_Carolina",Pyle's Massacre,/wiki/Pyle%27s_Massacre,36.011738799999996,-79.42537759999999,36.04,79.4,36.011738799999996,-79.42537759999999
1782-03-08 00:00:00,96,Pennsylvania militia men attacked a Moravian mission and killed 96 peaceful Christian American Indians there in retaliation for unrelated deaths of several white Pennsylvanians.[87][88],"Gnadenhutten, Ohio","/wiki/Gnadenhutten,_Ohio",Gnadenhutten massacre,/wiki/Gnadenhutten_massacre,40.358400599999996,-81.43428089999998,40.36083,81.43167,40.358400599999996,-81.43428089999998
1792-01-01 00:00:00,1440,"Popular courts in the French Revolution sentenced prisoners to death, including around 240 priests.[91]",France,Europe West !France,September Massacres,/wiki/September_Massacres,46.227638,2.213749,,,46.227638,2.213749
1794-01-01 00:00:00,20000,Inhabitants of the Warsaw district Praga were massacred by pillaging Russian troops following the Battle of Praga.,"Warsaw, Poland",/wiki/Warsaw,Massacre of Praga,/wiki/Battle_of_Praga,52.2296756,21.012228699999998,52.233000000000004,21.017,52.2296756,21.012228699999998
1804-01-01 00:00:00,3000,Massacre of French people in Haiti.,Haiti,/wiki/Haiti,1804 Haiti massacre,/wiki/1804_Haiti_massacre,18.971187,-72.28521500000001,19.0,72.417,18.971187,-72.28521500000001
1809-12-01 00:00:00,66,Whangaroa Māori killed and ate 66 crew and passengers on board the Boyd.[92],"Whangaroa, New Zealand",/wiki/Whangaroa,Boyd massacre,/wiki/Boyd_massacre,-35.0463715,173.74497309999998,35.05222,173.74194,-35.0463715,173.74497309999998
1817-12-09 00:00:00,22,British troops killed 22 unarmed native civilians who were hiding in a cave.[93][94],"Madulla, Central Province, Sri Lanka",/wiki/Madulla,Madulla,/wiki/Madulla,7.0223784,80.9289515,,,7.0223784,80.9289515
1818-01-01 00:00:00,1,"The 1818 Uva–Wellassa uprising also known as the Great Rebellion resulted in multiple atrocities against the local Sri Lankans by the British imperialists, including razing and annihilation of villages. The entire Uva region male population above the age of 18 years were killed in revenge for resistance against the British imperialist occupation.[95][96]","Uva Province, Sri Lanka",/wiki/Uva_Province,Uva–Wellassa massacre,Uva–Wellassa massacre,6.842761200000001,81.33994140000001,6.59,81.03,6.842761200000001,81.33994140000001
1819-08-16 00:00:00,11,"cavalry charged a meeting of 60,000–80,000 people campaigning for reform of parliamentary representation.[92]","Manchester, England",/wiki/Manchester,Peterloo Massacre,/wiki/Peterloo_Massacre,53.4807593,-2.2426305,53.467,2.233,53.4807593,-2.2426305
1821-03-01 00:00:00,1,"Hundreds of Greeks were massacred by the Ottomans, including the Greek patriarch, bishops and officials.",Constantinople,/wiki/Constantinople,Constantinople Massacre of 1821,/wiki/Constantinople_Massacre_of_1821,41.0082376,28.978358899999996,41.01361,28.955,41.0082376,28.978358899999996
1821-08-19 00:00:00,3000,"The whole Turkish population of Navarino, which was around 3000, were killed by Greeks.[97]","Navarino, Peloponnese, Greece",/wiki/Pylos,Navarino massacre,/wiki/Navarino_massacre,36.913075600000006,21.696347199999998,36.917,21.7,36.913075600000006,21.696347199999998
1822-01-01 00:00:00,52000,Tens of thousands of Greeks on the island of Chios were slaughtered by Ottoman troops in 1822.,"Chios, Greece",/wiki/Chios,Chios massacre,/wiki/Chios_massacre,38.36818239999999,26.1310056,38.4,26.017,38.36818239999999,26.1310056
1836-03-27 00:00:00,400,"Around 400 Texians killed by Santa Anna's Mexican Army Presidio la Bahia Goliad Palm Sunday March 27, 1836.","Goliad, Texas",/wiki/Goliad,Goliad massacre,/wiki/Goliad_massacre,28.668325199999998,-97.3883265,28.666999999999998,97.4,28.668325199999998,-97.3883265
1838-01-01 00:00:00,100,Aboriginal Australians killed by a force of colonial mounted police.[99],"Waterloo Creek, Australia","Oceania Australia !Waterloo Creek, Australia",Waterloo Creek massacre,/wiki/Waterloo_Creek_massacre,-31.5822719,152.8052526,,,-31.5822719,152.8052526
1838-06-10 00:00:00,28,A mainly white posse (one of whom was a black African) killed Aboriginal Australians. The perpetrators were convicted and sentenced to death.[100],"Myall Creek, Australia","Oceania Australia !Myall Creek, Australia",Myall Creek massacre,/wiki/Myall_Creek_massacre,-29.778965799999998,150.7429093,,,-29.778965799999998,150.7429093
1838-10-05 00:00:00,18,"In the largest attack by Native Americans on white settlers in Texas, a disaffected band of Cherokee, Caddo, Coushatta, and perhaps other ethnicities formed a war party and killed 18 members of the extended Killough family, who had settled in the area after the Senate of the Republic of Texas nullified the (land) treaty which President Sam Houston had negotiated with the Cherokee.","Cherokee County, Republic of Texas","/wiki/Cherokee_County,_Texas",Killough massacre,/wiki/Killough_massacre,,,31.84,95.17,31.84,95.17
1838-10-30 00:00:00,19,About 240 Livingston County Missouri Regulators militiamen and volunteers killed 18 Mormons and one non-Mormon friend.[103][104],"Caldwell County, Missouri, United States","/wiki/Caldwell_County,_Missouri",Haun's Mill massacre,/wiki/Haun%27s_Mill_massacre,39.6660775,-93.9878427,39.66,93.98,39.6660775,-93.9878427
1840-01-01 00:00:00,450,"A series of massacres spanning several years: 1840 – Nuntin, 1840 – Boney Point, 1841 – Butchers Creek – 30–35, 1841 – Maffra, 1842 – Skull Creek, 1842 – Bruthen Creek – ""hundreds killed"", 1843 – Warrigal Creek – between 60 and 180 shot, 1844 – Maffra, 1846 – South Gippsland – 14 killed, 1846 – Snowy River – 8 killed, 1846–47 – Central Gippsland – 50 or more shot, 1850 – East Gippsland – 15–20 killed, 1850 – Murrindal – 16 poisoned, 1850 – Brodribb River – 15–20 killed.[106] See also Angus McMillan.","Gippsland, Australia",/wiki/Gippsland,Gippsland massacres,/wiki/Gippsland_massacres,-37.583198200000005,147.4627259,37.85,147.583,-37.583198200000005,147.4627259
1842-01-06 00:00:00,16000,"Afghan tribes massacred Elphinstone's British army including some 12,000 civilians.[107][108][109]",Afghanistan,/wiki/Afghanistan,Massacre of Elphinstone's army,/wiki/Massacre_of_Elphinstone%27s_army,33.93911,67.709953,33.0,65.0,33.93911,67.709953
1857-04-08 00:00:00,84,"Mexican rebels fight American rebels at Caborca, Sonora. Out of less than ninety Americans, about thirty were killed in battle and the rest were executed by the Mexicans.","Caborca, Sonora, Mexico","/wiki/Caborca,_Sonora",Crabb massacre,/wiki/Crabb_massacre,30.695443800000003,-112.1835004,30.715559999999996,112.15916999999999,30.695443800000003,-112.1835004
1857-09-11 00:00:00,120,"Mormon militia, some dressed as Indians, and Paiute tribesmen killed and plundered unarmed members of the Baker-Fancher emigrant wagon train.[112]","Mountain Meadows, Utah, United States","/wiki/Mountain_Meadows,_Utah",Mountain Meadows massacre,/wiki/Mountain_Meadows_massacre,41.31799789999999,-111.9952205,37.475559999999994,113.64361000000001,41.31799789999999,-111.9952205
1863-01-18 00:00:00,13,"Thirteen boys and men, accused of being Union sympathizers and spies, were summarily executed by members of the 64th North Carolina Regiment of the Confederate Army.[113]","Madison County, North Carolina, United States","/wiki/Madison_County,_North_Carolina",Shelton Laurel massacre,/wiki/Shelton_Laurel_massacre,35.8237518,-82.6915429,35.86,82.71,35.8237518,-82.6915429
1863-01-29 00:00:00,225,3rd Regiment California Volunteer Infantry destroyed a village of Shoshone in southeastern Idaho.[115],"Washington Territory near present day Preston, Idaho United States",/wiki/Washington_Territory,Bear River massacre,/wiki/Bear_River_massacre,,,,,,
1863-08-21 00:00:00,150,"Pro-Confederate bushwhackers attacked the town of Lawrence, Kansas during the American Civil War in retaliation for the Union attack on Osceola, Missouri.[118][119]","Lawrence, Kansas, United States","/wiki/Lawrence,_Kansas",Lawrence massacre,/wiki/Lawrence_massacre,38.971668900000004,-95.23525009999999,38.97167,95.23528,38.971668900000004,-95.23525009999999
1864-04-12 00:00:00,350,"After their surrender following the Battle of Fort Pillow, most of the Union garrison – consisting primarily of Black troops – as well as civilians, including women and children, were massacred by Confederate forces under the command of General Nathan Bedford Forrest.[121][122][123][124]","Henning, Tennessee, United States","/wiki/Henning,_Tennessee",Fort Pillow massacre,/wiki/Fort_Pillow_massacre,35.6728565,-89.57340959999998,35.67361,89.5775,35.6728565,-89.57340959999998
1864-11-29 00:00:00,200,Colorado Territory 90-day militia destroyed a peaceful village of Cheyenne and Arapaho on the eastern plains.[126][127],"Kiowa County, Colorado, United States","/wiki/Kiowa_County,_Colorado",Sand Creek massacre,/wiki/Sand_Creek_massacre,38.3769671,-102.71351209999999,38.43,102.74,38.3769671,-102.71351209999999
1868-11-27 00:00:00,29,"Lt. Col. G.A.Custer's 7th cavalry attacked a village of sleeping Cheyenne led by Black Kettle. Custer reported 103 – later revised to 140 – warriors, ""some"" women and ""few"" children killed, and 53 women and children taken hostage. Other casualty estimates by cavalry members, scouts and Indians vary widely, with the number of men killed ranging as low as 11 and the numbers of women and children ranging as high as 75. Before returning to their base, the cavalry killed several hundred Indian ponies and burned the village.[129][130][131][132][133][134][135][136][137][138][139]","Indian Territory, United States",/wiki/Indian_Territory,Washita Massacre,/wiki/Washita_Massacre,41.3334453,-70.8161411,,,41.3334453,-70.8161411
1871-10-24 00:00:00,17,"A mob of over 500 men entered Chinatown in Los Angeles, rioted, ransacked, then tortured and killed 18 Chinese-Americans, making this among the largest mass lynchings in American history.[141]","Los Angeles California, United States",/wiki/Los_Angeles,Chinese massacre of 1871,/wiki/Chinese_massacre_of_1871,34.0522342,-118.24368490000002,34.05,118.25,34.0522342,-118.24368490000002
1876-04-30 00:00:00,3000,Ottoman army irregulars killed Bulgarian civilians barricaded in Batak's church.[145],Batak Ottoman Empire,"/wiki/Batak,_Bulgaria",Batak massacre,/wiki/Batak_massacre,,,41.95,24.217,41.95,24.217
1885-04-02 00:00:00,9,"Cree warriors, dissatisfied with the lack of support from the Canadian Government for Treaty Indians, and exacerbated by food shortages resulting from the near-extinction of bison, killed nine white settlers, including Indian agent Thomas Quinn.[146][147]","Frog Lake, North-West Territories, Canada","/wiki/Frog_Lake,_Alberta",Frog Lake Massacre,/wiki/Frog_Lake_Massacre,48.647096000000005,-93.3903109,53.831669999999995,110.41667,48.647096000000005,-93.3903109
1885-09-02 00:00:00,28,"Rioting white immigrant miners killed 28 Chinese miners, wounded 15, and 75 Chinese homes burned.[148][149][150]","Rock Springs, Wyoming, United States","/wiki/Rock_Springs,_Wyoming",Rock Springs massacre,/wiki/Rock_Springs_massacre,41.58746439999999,-109.2029043,41.59083,109.2225,41.58746439999999,-109.2029043
1890-12-29 00:00:00,200,"The U.S. 7th Cavalry intercepted a band of Lakota people on their way to the Pine Ridge Reservation for shelter from the winter; as they were disarming them, a gun was fired, and the soldiers turned their artillery on the Lakota, killing men women and children.[152][153]","Wounded Knee, South Dakota, United States","/wiki/Wounded_Knee,_South_Dakota",Wounded Knee Massacre,/wiki/Wounded_Knee_Massacre,43.1405442,-102.36571500000001,43.14389,102.36778000000001,43.1405442,-102.36571500000001
1894-01-01 00:00:00,100000,"
Sultan Abdul Hamid II ordered Ottoman forces to kill Armenians across the empire.[154][155][156]
","Armenian Highlands, Ottoman Empire",/wiki/Armenian_Highlands,Hamidian massacres,/wiki/Hamidian_massacres,39.2842511,43.373605600000005,39.717,44.266999999999996,39.2842511,43.373605600000005
1897-09-10 00:00:00,19,Unarmed striking miners were shot in the back: many were wounded and 19 were killed.,"Pennsylvania, United States",/wiki/Pennsylvania,Lattimer massacre,/wiki/Lattimer_massacre,41.2033216,-77.1945247,41.0,77.5,41.2033216,-77.1945247
1900-01-18 00:00:00,400,"Mexican Army troops attack Yaqui hostiles west of Guaymas, Sonora, Mexico.","Guaymas, Mexico","/wiki/Guaymas,_Sonora",Mazocoba massacre,/wiki/Mazocoba_massacre,27.9178651,-110.9089378,27.918329999999997,110.89889,27.9178651,-110.9089378
1902-01-31 00:00:00,35,"During the Second Boer War, Boer forces under Manie Maritz massacred 35 Khoikhoi for being British sympathisers.","Leliefontein, Northern Cape, South Africa",/wiki/Northern_Cape,Leliefontein massacre,/wiki/Leliefontein_massacre,-30.3157669,18.0820915,30.0,22.0,-30.3157669,18.0820915
1906-03-10 00:00:00,800,"A U.S. Army force of 540 soldiers under the command of Major General Leonard Wood, accompanied by a naval detachment and with a detachment of native constabulary, armed with artillery and small firearms, attacked a Muslim village hidden in the crater of a dormant volcano.[160]","Bud Dajo, Jolo Island, Philippines",/wiki/Bud_Dajo,Moro Crater massacre,/wiki/Moro_Crater_massacre,6.0133329999999985,121.05666699999999,6.013330000000001,121.05667,6.0133329999999985,121.05666699999999
1907-12-21 00:00:00,2200,"A massacre of striking workers, mostly saltpeter (nitrate) miners, along with wives and children, committed by the Chilean Army in Iquique, Chile. It occurred during the peak of the nitrate mining era, which coincided with the Parliamentary Period in Chilean political history (1891–1925). With the massacre and an ensuing reign of terror, not only was the strike broken, but the workers' movement was thrown into limbo for over a decade.[citation needed]",Chile,/wiki/Chile,Santa María School massacre,/wiki/Santa_Mar%C3%ADa_School_massacre,-35.675146999999996,-71.542969,30.0,71.0,-35.675146999999996,-71.542969
1909-04-01 00:00:00,15000,"In April 1909, a religious-ethnic clash in the city of Adana, amidst governmental upheaval, resulted in a series of anti-Armenian pogroms throughout the district, resulting in an estimated 15,000 to 30,000 deaths.[161][162][163][164][165]","Adana Province, Ottoman Empire",/wiki/Adana_Vilayet,Adana massacre,/wiki/Adana_massacre,,,,,,
1914-04-20 00:00:00,20,"Twenty people, 11 of them children, died during an attack by the Colorado National Guard on a tent colony of 1,200 striking coal miners and their families at Ludlow, Colorado. The event led to wider conflict quelled only by Federal troops sent in by U.S. President Woodrow Wilson.[166][167][168]","Ludlow, Colorado, United States","/wiki/Ludlow,_Colorado",Ludlow massacre,/wiki/Ludlow_massacre,37.333349299999995,-104.583318,37.33333,104.58333,37.333349299999995,-104.583318
1918-04-28 00:00:00,360,"At least 360 mostly Russian military personnel and civilians were killed after the Finnish Civil War Battle of Vyborg by the Finnish Whites. The victims include a large number of other nationalities which the Whites presumed as Russians. The killed were not affiliated with the Reds, but most were even White supporters. Also 450–1,200 captured Finnish Red Guard fighters were executed.[169]","Vyborg, Finland",/wiki/Vyborg,Vyborg massacre,/wiki/Vyborg_massacre,60.713952899999995,28.75715709999999,60.717,28.767,60.713952899999995,28.75715709999999
1919-04-13 00:00:00,379,"90 British Indian Army soldiers, led by Brigadier Reginald Dyer, opened fire on an unarmed gathering of men, women and children. The firing lasted for 10 to 15 minutes, until they ran out of ammunition.[171][172]","Amritsar, India",/wiki/Amritsar,Jallianwala Bagh massacre,/wiki/Jallianwala_Bagh_massacre,31.6339793,74.8722642,31.64,74.86,31.6339793,74.8722642
1920-11-21 00:00:00,23,British Auxiliary police and Black and Tans fired at Gaelic football spectators at Croke Park.[173][174],"Dublin, Ireland",/wiki/Dublin,Croke Park massacre,/wiki/Bloody_Sunday_(1920)#Afternoon,53.34980529999999,-6.2603097000000005,53.34972,6.260280000000001,53.34980529999999,-6.2603097000000005
1923-01-01 00:00:00,8,"Several days of violence by white mobs, ranging in size up to 400 people, resulted in the deaths of six blacks and two whites and the destruction of the town of Rosewood, which was abandoned after the incident.[175]","Rosewood, Florida, United States","/wiki/Rosewood,_Florida",Rosewood massacre,/wiki/Rosewood_massacre,29.23889,-82.93222,29.233,82.93299999999999,29.23889,-82.93222
